name,device,label,enabled,type,description
te1/0/1,kp74.a,,True,10gbase-x-sfpp,
te1/0/2,kp74.a,,True,10gbase-x-sfpp,
te1/0/3,kp74.a,,True,10gbase-x-sfpp,
te1/0/4,kp74.a,,True,10gbase-x-sfpp,
te1/0/5,kp74.a,,True,10gbase-x-sfpp,
te1/0/6,kp74.a,,True,10gbase-x-sfpp,
te1/0/7,kp74.a,,True,10gbase-x-sfpp,
te1/0/8,kp74.a,,True,10gbase-x-sfpp,
te1/0/9,kp74.a,,True,10gbase-x-sfpp,
te1/0/10,kp74.a,,True,10gbase-x-sfpp,
te1/0/11,kp74.a,,True,10gbase-x-sfpp,
te1/0/12,kp74.a,,True,10gbase-x-sfpp,
te1/0/13,kp74.a,,True,10gbase-x-sfpp,
te1/0/14,kp74.a,,True,10gbase-x-sfpp,
te1/0/15,kp74.a,,True,10gbase-x-sfpp,
te1/0/16,kp74.a,,True,10gbase-x-sfpp,
te1/0/17,kp74.a,,True,10gbase-x-sfpp,
te1/0/18,kp74.a,,True,10gbase-x-sfpp,
te1/0/19,kp74.a,,True,10gbase-x-sfpp,
te1/0/20,kp74.a,,True,10gbase-x-sfpp,
te1/0/21,kp74.a,,True,10gbase-x-sfpp,
te1/0/22,kp74.a,,True,10gbase-x-sfpp,
te1/0/23,kp74.a,,True,10gbase-x-sfpp,
te1/0/24,kp74.a,,True,10gbase-x-sfpp,
fo1/0/1,kp74.a,,True,40gbase-x-qsfpp,
fo1/0/2,kp74.a,,True,40gbase-x-qsfpp,
fo1/0/3,kp74.a,,True,40gbase-x-qsfpp,
fo1/0/4,kp74.a,,True,40gbase-x-qsfpp,
te2/0/1,kp74.a,,True,10gbase-x-sfpp,
te2/0/2,kp74.a,,True,10gbase-x-sfpp,
te2/0/3,kp74.a,,True,10gbase-x-sfpp,
te2/0/4,kp74.a,,True,10gbase-x-sfpp,
te2/0/5,kp74.a,,True,10gbase-x-sfpp,
te2/0/6,kp74.a,,True,10gbase-x-sfpp,
te2/0/7,kp74.a,,True,10gbase-x-sfpp,
te2/0/8,kp74.a,,True,10gbase-x-sfpp,
te2/0/9,kp74.a,,True,10gbase-x-sfpp,
te2/0/10,kp74.a,,True,10gbase-x-sfpp,
te2/0/11,kp74.a,,True,10gbase-x-sfpp,
te2/0/12,kp74.a,,True,10gbase-x-sfpp,
te2/0/13,kp74.a,,True,10gbase-x-sfpp,
te2/0/14,kp74.a,,True,10gbase-x-sfpp,
te2/0/15,kp74.a,,True,10gbase-x-sfpp,
te2/0/16,kp74.a,,True,10gbase-x-sfpp,
te2/0/17,kp74.a,,True,10gbase-x-sfpp,
te2/0/18,kp74.a,,True,10gbase-x-sfpp,
te2/0/19,kp74.a,,True,10gbase-x-sfpp,
te2/0/20,kp74.a,,True,10gbase-x-sfpp,
te2/0/21,kp74.a,,True,10gbase-x-sfpp,
te2/0/22,kp74.a,,True,10gbase-x-sfpp,
te2/0/23,kp74.a,,True,10gbase-x-sfpp,
te2/0/24,kp74.a,,True,10gbase-x-sfpp,
fo2/0/1,kp74.a,,True,40gbase-x-qsfpp,
fo2/0/2,kp74.a,,True,40gbase-x-qsfpp,
fo2/0/3,kp74.a,,True,40gbase-x-qsfpp,
fo2/0/4,kp74.a,,True,40gbase-x-qsfpp,
